Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
A319,48.55,66.2,1962.72
A319,6.644,11.92,800.85
A319,7.18,52.85,1369.37
A319,5.651,51.46,895.59
A319,8.889,35.05,892.04
A319,8.034,43.78,1240.06
A319,7.817,32.65,2132.78
A319,5.849,11.56,1913.35
A319,5.899,42.44,1262.32
A319,7.435,59.7,801.54
A319,9.586,29.02,751.16
A319,8.6,41.32,620.76
A319,9.175,11.82,1393.34
A319,6.038,34.6,1945.37
A319,7.755,25.48,2585.79
A319,7.818,54.44,1122.42
A319,8.105,63.78,1417.74
A319,8.447,341.71,516.78
A319,9.544,13.13,1796.69
A319,8.984,20.99,777.26
A319,6.074,36.24,2082.16
A319,7.699,24,479.48
A319,7.797,59.65,2049.79
A319,8.465,67.05,832.01
A319,7.041,54.53,1432.11
A319,6.818,44.89,1171.15
A319,8.664,25.23,785.73
A319,7.677,42.53,600.26
A319,73.39,15.59,1827.38
A319,6.309,26.02,1366.99
A319,8.954,19.83,2165.44
A319,7.416,19.07,1305.47
A319,9.25,41.48,1117.24
A319,6.776,4.19,1187.19
A319,9.412,67.95,1850.75
A319,5.715,17.58,683.78
A319,7.375,41.49,515.69
A319,8.164,36.55,2123.7
A319,8.656,64.76,798.69
A319,7.557,25.12,1106.86
A319,8.191,12.84,595.35
A319,8.427,29.07,1286.09
A319,7.134,48.8,1935.19
A319,8.101,44.82,775.25
A319,8.918,27.21,1777.87
A319,9.363,26.09,379.03
A319,7.965,30.05,232.27
A319,8.411,22.36,1134.92
A319,9.046,12.78,1106.26
A319,6.892,60.45,1494.71
A319,8.499,32.67,1217.56
A319,6.981,62.85,1726.75
A319,7.204,24.92,2097.04
A319,9.172,69.66,1200.07
A319,6.293,48.71,923.62
A319,6.438,68.65,2190.96
A319,9.402,17.24,880.98
A319,7.245,29.56,900.18
A319,6.85,4.42,967.9
A319,7.222,10.93,243.06
A319,7.726,47.47,213.72
A319,7.77,17.32,468.61
A319,8.008,50.79,65.64
A319,8.593,16.3,2013.39
A319,7.041,55.99,1341.07
A319,7.448,10.7,990.18
A319,8.163,65.51,559.31
A319,9.423,16.87,1920.76
A319,6.374,26.29,725.97
A319,6.336,42.9,589.64
A319,6.41,45.74,1988.38
A319,6.935,44.09,1375.1
A319,5.775,23.34,882.35
A319,6.748,38.79,1833.51
A319,8.462,38.49,1756.79
A319,8.824,50.08,1255.7
A319,7.699,36.32,255.54
A319,8.999,50.65,1462.16
A319,7.715,23.4,521.51
A319,7.21,42.7,1996.98
A319,7.729,21.86,990.63
A319,7.863,16.35,638.16
A319,6.175,53.25,1531.81
A319,8.685,64.28,757.68
A319,8.293,34.66,1211.88
A319,6.539,47.69,1546.52
A319,8.485,43.36,1505.31
A319,8.322,68.54,1852.34
A319,7.024,28.03,1819.05
A319,8.865,56.52,1706.76
A319,7.135,35.78,734.85
A319,6.745,21.1,534.64
A319,6.1,56.7,1282.06
A319,6.338,31.24,1544.03
A319,8.056,54.76,233.84
A319,8.686,25.29,1428.49
A319,6.706,68.67,988.11
A319,6.35,65.22,1160.33
A319,9.483,13.82,2014.63
A319,9.557,62.63,309.84
A319,6.8,61.27,1581.27
A319,7.588,17.43,308.44
A319,9.262,63.48,510.38
A319,7.205,64.46,1931.71
A319,6.644,69.43,1789.25
A319,6.478,43.52,1499.25
A319,9.215,27.12,1257.55
A319,9.508,25.97,1093.63
A319,9.383,23.38,1959.07
A319,6.508,39.5,460.77
A319,6.707,20.07,1394.44
A319,9.101,12.85,1241.91
A319,5.72,44.11,2117.02
A319,6.614,66.6,469.05
A319,8.673,63.06,2126.65
A319,6.312,36.58,1151.46
A319,7.106,42.17,1272.79
A319,6.993,59.37,226.84
A319,7.74,51.59,1637.24
A319,8.031,12.27,490.04
A319,8.343,13.24,1079.32
A319,7.77,57.19,1195.11
A319,8.25,35.83,1988.27
A319,7.526,65.23,1424.35
A319,7.976,47.03,1799.02
A319,8.28,55.29,1025.93
A319,8.649,11.3,298.11
A319,5.716,16.17,682.65
A319,5.898,14.71,1737.17
A319,5.717,28.71,1520.32
A319,7.53,22.06,2029.57
A319,6.521,35.61,1504.74
A319,7.99,64.4,631.74
A319,5.981,11.63,986.14
A319,6.169,15.72,429.26
A319,6.8,42.82,2039.93
A319,5.976,41.81,2125
A319,7.196,58.33,1679.83
A319,8.589,60.48,1859.33
A319,5.721,31.08,1635.98
A319,7.353,30.75,1847.99
A319,6.98,40.52,1889.23
A319,6.89,57.41,847.62
A319,9.277,14.55,2008.61
A319,7.311,30.79,573.5
A319,6.035,57.87,994.85
A319,8.45,20.38,888.7
A319,7.215,20.89,2159.09
A319,8.318,34.9,930.49
A319,8.493,45.05,1668.78
A319,7.759,40.68,1544.98
A319,9.488,66.43,1258.13
A319,6.866,36.29,463.17
A319,8.25,69.12,482.77
A319,8.109,14.49,509.33
A319,6.094,68.9,2088.09
A319,8.005,10.22,1160.26
A319,6.767,56.3,603.34
A319,8.147,37.16,2126.42
A319,8.645,69.89,387.67
A319,7.791,21.73,988.81
A319,6.062,25.36,1147.68
A319,8.697,50.13,1122.93
A319,9.447,55.21,1812.73
A319,7.88,25.86,231.7
A319,9.488,15.33,731.09
A319,9.336,32.23,1035.26
A319,9.023,13.52,715.63
A319,7.282,63.32,765.78
A319,7.876,69.42,1797.23
A319,6.411,62.47,1599.74
A319,7.943,59.48,309.45
A319,5.625,29.95,1650.21
A319,7.412,45.13,1504.3
A319,7.828,27.5,777.9
A319,8.284,44.28,1353.47
A319,7.114,41.32,731.86
A319,9.579,19.96,651.34
A319,8.141,64.99,1299.37
A319,8.931,35.71,1139.87
A319,8.874,50.55,1270.96
A319,7.477,38.63,886.78
A319,5.859,66.3,1096.44
A319,6.295,25.04,1473.43
A319,5.986,24.53,1421.31
A319,7.42,52.41,371.4
A319,8.786,49.09,1490.24
A319,8.964,17.38,627
A319,8.593,38.81,828.44
A319,6.579,67.06,2118.9
A319,9.386,58.61,322.28
A319,6.927,25.58,1130.12
A319,8.752,32.46,411.81
A319,7.054,59.15,1065.97
A319,9.31,37.08,673.12
A319,7.702,40.38,1091.69
A319,8.22,51.24,356.81
A319,8.262,16.87,867.18
A319,9.144,66.05,612.12
A319,8.912,60.17,2086.86
A319,9.226,61.7,1331.14
A319,6.608,27.64,964.48
A319,5.974,52.98,2048.1
A319,6.262,30.89,925.73
A319,7.304,67.56,1421.27
A319,8.878,12.35,1128.43
A319,5.602,23.05,1214.65
A319,8.106,40.08,1503.91
A319,7.818,69.12,1224.12
